Result,surface,best_of,w_heightdiff,w_agediff,w_acediff,w_dfdiff,%w_1stIndiff,%w_1stwondiff,%w_2ndwondiff,w_rankdiff,w_rankpointsdiff
0,1,3,-18,-6.35455167,-7,-1,-0.008552632,-0.011605416,0.047348485,14,-1010
0,1,3,-21,3.3100616,3,0,0.06385696,-0.071490845,0.370600414,-46,3253
1,1,3,5,2.99247091,13,-4,-0.023514741,0.042764015,-0.045454546,-15,1155
1,1,3,-10,10.48049281,-10,1,0.15920398,-0.123529412,-0.025757576,-18,2590
0,1,3,-2,4.44626968,2,-1,0.314285714,0.433333333,0,-1,15
1,1,3,-5,-0.8678987,-11,-1,0.252258281,-0.263794407,-0.295454545,32,-493
0,1,3,-8,-0.8569473,3,-5,0.158730159,0.15625,0.205645161,-1,30
1,1,3,-2,-2.54346338,8,-2,0.017488341,-0.144124169,0.028571428,32,-489
0,1,3,7,6.4366872,0,-2,0.015658516,0.017125064,0.166666667,27,-275
0,1,3,-3,7.1211499,1,0,0.04079254,0.168819983,-0.023550724,-50,389
1,1,3,0,-1.97672827,2,-2,0.013645225,-0.183712121,0.060606061,-15,287
1,1,3,-8,-10.32169746,-3,0,0.142857143,-0.151442308,-0.088235294,-18,540
1,1,3,-5,-4.93908282,3,-2,-0.155324675,-0.08974359,0.051111111,103,-808
1,1,3,-8,5.36892539,1,-1,-0.023376624,-0.140789474,0.023648649,13,-250
0,1,3,0,2.08350445,-1,-1,-0.092307692,0.119117647,-0.100645161,42,-560
0,1,3,13,-3.78097194,7,3,0.085217391,0.21474359,0.203846154,-21,487
0,1,3,-2,5.3689254,2,-4,0.051457976,0.122580645,0.1,-2,48
0,1,3,5,3.76454483,12,0,-0.04446082,0.141558441,0.141666667,7,-150
1,1,3,-8,2.51882272,-2,3,-0.057579318,-0.116666666,-0.064583333,8,-180
0,1,3,3,-4.05475702,2,-1,-0.000150602,-0.029159519,0.236772487,-49,777
0,1,3,-5,7.41409993,1,1,-0.104152934,0.318295739,0.125,33,-857
0,1,3,-5,-8.01916495,-5,-1,0.075901328,0.052048726,0.275303643,-10,210
1,1,3,-5,0.72005476,-5,5,-0.104781813,0.009533898,-0.059649122,28,-624
0,1,3,5,5.25941136,5,-4,-0.084116282,0.046320123,0.084761905,-6,172
0,1,5,-5,-0.47091034,4,-8,0.024444444,0.276974416,0.319078947,-33,153
1,1,5,-2,-1.25119781,5,3,0.060810811,0.081325301,-0.091093117,15,-357
1,1,5,18,11.60027379,11,1,0.057587149,-0.138565891,-0.088819227,-29,670
1,1,5,10,-5.48665298,17,2,-0.05795756,-0.106735427,-0.166023166,24,-1070
1,1,5,-5,-0.1670089,-8,0,-0.125699301,-0.000252525,0.012889367,36,-1831
1,1,5,-8,5.14715948,-13,-5,0.119594858,-0.010330058,-0.038259958,-105,457
1,1,5,-3,1.3908282,1,3,-0.050688361,-0.087159864,-0.092592593,70,-821
0,1,5,23,-6.95414099,11,1,0.045913069,0.082805908,0.274164134,96,-404
1,1,5,0,6.20396988,3,1,0.079680736,-0.14916388,-0.29032258,27,-3050
1,1,5,0,-10.54346338,-4,2,0.004201681,-0.393939394,-0.158333333,115,-7672
1,1,5,-5,-1.61806982,-5,-6,0.039291218,-0.280434783,0.090612245,50,-519
1,1,5,-5,9.41546886,-5,1,-0.080251087,0.036448141,-0.113247863,29,-625
