Result,surface,winner_ht,winner_age,loser_ht,loser_age,best_of,w_ace,w_df,%w_FSrv,%w_FSrvWon,%w_2ndWon,%l_FSrv,%l_FSrvWon,%l_2ndWon,l_ace,l_df,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1,1,185,37.43463381,175,28.64613279,5,11,1,0.626262626,0.838709677,0.648648649,0.608695652,0.728571429,0.466666667,4,0,3,6420,189,266
0,1,175,28.64613279,180,30.65845311,5,9,2,0.626262626,0.790322581,0.594594595,0.48,0.791666667,0.480769231,5,8,189,266,150,360
1,1,188,31.6495551,188,33.74401095,5,12,1,0.701149425,0.737704918,0.692307692,0.543478261,0.72,0.452380952,10,1,1,9135,177,290
1,1,185,32.61601643,183,26.98151951,5,6,2,0.666666667,0.740740741,0.592592593,0.558558559,0.64516129,0.408163265,12,11,2,7480,237,206
1,1,185,32.61601643,188,31.13483915,5,6,4,0.654320988,0.811320755,0.571428571,0.666666667,0.66,0.32,7,3,2,7480,48,981
1,1,185,32.61601643,196,33.32511978,5,5,1,0.691358025,0.803571429,0.64,0.474358974,0.702702703,0.43902439,5,3,2,7480,57,865
1,1,185,37.43463381,188,32.35318275,5,14,2,0.56097561,0.826086957,0.666666667,0.696969697,0.652173913,0.533333333,4,1,3,6420,101,577
1,1,198,21.7357974,181,29.49212868,5,11,6,0.597402597,0.826086957,0.451612903,0.607142857,0.666666667,0.242424242,7,2,4,6385,67,760
1,1,198,21.7357974,188,31.92060233,5,29,13,0.694610778,0.810344828,0.490196078,0.682080925,0.728813559,0.527272727,14,3,4,6385,36,1120
1,1,203,32.65982204,183,30.54346338,5,14,5,0.645454545,0.746478873,0.512820513,0.696428571,0.628205128,0.352941176,5,1,6,4810,42,1045
1,1,198,30.29431896,193,26.23134839,5,24,2,0.677419355,0.777777778,0.633333333,0.701923077,0.643835616,0.483870968,12,1,7,4160,88,655
1,1,185,25.36344969,196,29.68651608,5,9,13,0.581005587,0.663461538,0.493333333,0.509803922,0.756410256,0.453333333,21,5,8,4095,61,820
1,1,178,29.04312115,208,39.87679671,5,9,2,0.765822785,0.79338843,0.702702703,0.752941176,0.78125,0.619047619,59,3,9,3750,73,739
1,1,178,29.04312115,185,29.79329227,5,3,3,0.65,0.769230769,0.714285714,0.556818182,0.734693878,0.384615385,9,1,9,3750,44,1017
1,1,178,31.6440794,188,31.66872005,5,5,3,0.696078431,0.830985915,0.580645161,0.576923077,0.766666667,0.5,13,2,13,2315,53,920
1,1,196,28.04928131,193,23.71800137,5,30,1,0.725,0.896551724,0.772727273,0.747252747,0.75,0.695652174,15,2,17,1900,52,920
1,1,196,28.04928131,183,33.79876797,5,39,6,0.675324675,0.836538462,0.56,0.6,0.823529412,0.558823529,28,2,17,1900,59,830
1,1,196,28.04928131,188,27.8275154,5,23,2,0.697674419,0.85,0.615384615,0.784946237,0.698630137,0.55,8,2,17,1900,55,903
1,1,170,26.41204654,180,26.40930869,5,11,5,0.676136364,0.68907563,0.421052632,0.610169492,0.675925926,0.420289855,17,6,16,1925,62,818
1,1,188,27.6659822,180,33.0349076,5,8,2,0.729323308,0.824742268,0.583333333,0.664473684,0.732673267,0.431372549,15,8,21,1790,94,616
1,1,163,28.10403833,193,28.24366872,5,12,2,0.732142857,0.804878049,0.5,0.601626016,0.716216216,0.510204082,20,3,22,1785,60,823
