Result,surface,winner_ht,winner_age,loser_ht,loser_age,best_of,w_ace,w_df,%w_FSrv,%w_FSrvWon,%w_2ndWon,%l_FSrv,%l_FSrvWon,%l_2ndWon,l_ace,l_df,winner_rank,winner_rank_points,loser_rank,loser_rank_points
1,1,206,33.83436003,183,29.70020534,3,38,0,0.794392523,0.811764706,0.636363636,0.586956522,0.716049383,0.596491228,9,7,9,3270,44,1008
0,1,193,23.8329911,185,32.73100616,3,21,6,0.614173228,0.820512821,0.448979592,0.60952381,0.84375,0.634146341,8,3,72,750,2,8320
0,1,183,33.9137577,188,29.17180014,3,9,1,0.554054054,0.829268293,0.545454545,0.681818182,0.755555556,0.666666667,5,0,42,1040,36,1145
1,1,206,33.83436003,198,31.38672142,3,19,0,0.673913043,0.935483871,0.733333333,0.52238806,0.742857143,0.5,14,8,9,3270,57,880
1,1,183,29.70020534,185,29.61533196,3,2,0,0.588235294,0.7,0.571428571,0.405405405,0.466666667,0.181818182,0,7,44,1008,87,640
1,1,198,21.85078713,175,36.90075291,3,9,6,0.596774194,0.783783784,0.6,0.610169492,0.638888889,0.391304348,0,2,3,6475,145,400
1,1,185,32.73100616,190,31.51266256,3,3,4,0.535714286,0.666666667,0.730769231,0.639344262,0.641025641,0.454545455,5,3,2,8320,76,726
0,1,193,23.8329911,190,35.01163587,3,13,1,0.672131148,0.731707317,0.65,0.563636364,0.806451613,0.375,6,3,72,750,49,960
1,1,183,33.9137577,183,26.80355921,3,9,1,0.646153846,0.880952381,0.52173913,0.646153846,0.785714286,0.52173913,2,3,42,1040,93,615
1,1,206,33.83436003,183,30.65845311,3,18,0,0.638888889,0.804347826,0.615384615,0.556818182,0.693877551,0.538461538,3,6,9,3270,51,920
1,1,198,31.38672142,188,35.72895277,3,15,3,0.681818182,0.966666667,0.571428571,0.656716418,0.636363636,0.347826087,3,4,57,880,103,551
1,1,183,29.70020534,190,32.8733744,3,3,1,0.581818182,0.78125,0.52173913,0.615384615,0.6875,0.3,0,4,44,1008,115,511
1,1,170,26.52703628,193,28.35865845,3,1,4,0.670886076,0.679245283,0.384615385,0.462365591,0.581395349,0.44,7,3,25,1485,74,738
0,1,188,37.43189596,180,28.65708419,3,14,7,0.471698113,0.76,0.5,0.6,0.626666667,0.44,4,0,73,745,43,1010
1,1,193,32.48459959,175,28.68172485,3,7,2,0.58974359,0.739130435,0.53125,0.597938144,0.465517241,0.512820513,2,6,23,1560,113,516
1,1,193,32.48459959,183,33.69199179,3,6,2,0.660714286,0.756756757,0.473684211,0.5,0.727272727,0.409090909,1,0,23,1560,128,450
0,1,175,28.68172485,180,26.52429843,3,3,0,0.588235294,0.7,0.666666667,0.639344262,0.641025641,0.227272727,0,2,113,516,68,770
0,1,185,27.00616016,183,30.86652977,3,19,1,0.604651163,0.807692308,0.617647059,0.6,0.666666667,0.575,1,3,19,1820,18,1955
1,1,185,37.54962355,188,35.27994524,3,10,2,0.705128205,0.781818182,0.652173913,0.657142857,0.826086957,0.458333333,3,4,7,4100,32,1200
1,1,178,29.15811088,196,29.80150582,3,2,1,0.651515152,0.744186047,0.565217391,0.519230769,0.814814815,0.4,4,5,6,4190,65,795
0,1,193,32.48459959,198,30.40930869,3,7,1,0.580645161,0.805555556,0.615384615,0.620689655,0.666666667,0.363636364,1,1,23,1560,10,3095
1,1,183,33.69199179,183,28.43531828,3,4,5,0.578313253,0.875,0.514285714,0.670886076,0.698113208,0.461538462,0,2,128,450,218,233
